Question;Option1;Option2;Option3;Option4;CorrectIndex
"Select the correct Hindi translation for the term 'Abstract of title deed'";स्वत्न विलेख मार;सक्रिय खाता;ब्याज का उपभोग स्थगन सिद्धात;लेखा-सार;0
"What is the Hindi equivalent of 'Accommodation bill'?";सक्रिय खाता;निभाव हुडी / बिल;पूर्ण स्वत्वाधिकार / हक;खातेदार;1
"Choose the correct meaning of 'Abuse of trust'";लेखा-वर्ष;अग्रिम दर;विश्वास का दुरुपयोग;कृषि आय;2
"Select the correct Hindi translation for the term 'Accommodation'";सक्रिय खाता;निभाव पराकन;कृषि जोत;आधिक्य;1
"In a professional context, what does 'Accede' mean?";सक्रिय खाता;अवशोषण क्षमता;स्वीकार करना;खातेदार;2
"What is the technical term for 'Endorsement'?";निभाव पत्र;स्वीकार करना;अवशोषण क्षमता;सक्रिय खाता;1
"Identify the correct Hindi translation for 'Accommodation paper'";खातेदार;कृषि आय;निभाव पत्र;सक्रिय खाता;2
"Select the correct Hindi translation for the term 'Accord and satisfaction'";समझौता और तुष्टि;सक्रिय खाता;कृषि जोत;लेखा-वर्ष;0
"What is the Hindi equivalent of 'Accelerated depreciation'?";लेखा-वर्ष;खातेदार;त्वरित मूल्यह्रास;सक्रिय खाता;2
"Choose the correct meaning of 'Account'";सक्रिय खाता;कृषि आय;खातेदार;लेखा (जहां सिर्फ प्रविष्टिया की जाती हैं): खाना;3
"Select the correct Hindi translation for the term 'Accelerating premium'";खातेदार;त्वरणशील प्रीमियम;सक्रिय खाता;कृषि जोत;1
"In a professional context, what does 'Acceleration clause' mean?";तत्काल अदायगी संबंधी खंड / शर्त;सक्रिय खाता;लेखा-वर्ष;कृषि आय;0
"What is the technical term for 'Account book'?";खातेदार;सक्रिय खाता;लेखा बही;कृषि जोत;2
"Identify the correct Hindi translation for 'Account day'";निपटान दिन;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Select the correct Hindi translation for the term 'Acceleration of growth'";लेखा-वर्ष;कृषि आय;सवृद्धि में तेजी;सक्रिय खाता;2
"What is the meaning of the phrase 'Account for'?";1. हिसाब में लेना 2. उत्तरदायी होना 3. लेखा-जोखा देना;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Choose the correct meaning of 'Acceptance for honour'";लेखा-वर्ष;सक्रिय खाता;मानार्थ सकार / स्वीकृति;खातेदार;2
"Select the correct Hindi translation for the term 'Acceptance limit'";खातेदार;स्वीकृति सीमा;सक्रिय खाता;लेखा-वर्ष;1
"In a professional context, what does 'Acceptances' mean?";स्वीकृतियां;सक्रिय खाता;खातेदार;लेखा-वर्ष;0
"What is the technical term for 'Accepting bank'?";स्वीकारकर्ता बैंक;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Identify the correct Hindi translation for 'Accepting house'";खातेदार;स्वीकृति गृह;सक्रिय खाता;लेखा-वर्ष;1
"Select the correct Hindi translation for the term 'Acceptor'";स्वीकारकर्ता;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"What is the Hindi equivalent of 'Access'?";लेखा-वर्ष;खातेदार;अभिगम / पहुंच;सक्रिय खाता;2
"Choose the correct meaning of 'Accessing of the records'";अभिलेखों को सुलभता / सहज उपलब्धता;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Select the correct Hindi translation for the term 'Accession book/ register'";अभिप्राप्ति बही / रजिस्टर;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"In a professional context, what does 'Accession rate' mean?";अभिप्राप्ति दर (विनियम-पत्र के संदर्भ में) / नियुक्ति-दर;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"What is the technical term for 'Acceptance of bill'?";बिल की स्वीकृति;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Identify the correct Hindi translation for 'Acceptance of transfer debit'";नामे अंतरण की स्वीकृति;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Select the correct Hindi translation for the term 'Account heads'";लेखा-शीर्ष;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"What is the Hindi equivalent of 'Account holder'?";खातेदार;सक्रिय खाता;लेखा-वर्ष;कृषि आय;0
"Choose the correct meaning of 'Account in operation'";सक्रिय खाता;लेखा-वर्ष;कृषि जोत;खातेदार;0
"Select the correct Hindi translation for the term 'Account jurisdiction'";लेखा अधिकारिता;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"In a professional context, what does 'Account keeping' mean?";लेखा रखना;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"What is the technical term for 'Account of freight deposit'?";भाड़ा जमा लेखा;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Identify the correct Hindi translation for 'Account payee'";आदाता खाता;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Select the correct Hindi translation for the term 'Account stated'";1. कर्ज की अभिस्वीकृति 2. पार्टियों द्वारा समायोजन की पारस्परिक सहमति;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"What is the Hindi equivalent of 'Accountancy'?";लेखा-शास्त्र;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Choose the correct meaning of 'Accountant'";लेखाकार;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Select the correct Hindi translation for the term 'Accounting'";लेखांकन;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"In a professional context, what does 'Accessorial service' mean?";सहायक सेवा;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"What is the technical term for 'Accounting method'?";लेखा पद्धति;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Identify the correct Hindi translation for 'Accessory products'";सहायक उत्पाद;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Select the correct Hindi translation for the term 'Accounting of cash'";नकदी का हिसाब करना;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"What is the Hindi equivalent of 'Accidental expenditure'?";प्रासंगिक व्यय;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Choose the correct meaning of 'Accounting period ended'";को समाप्त लेखा अवधि;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Select the correct Hindi translation for the term 'Accidental profit'";आकस्मिक लाभ;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"In a professional context, what does 'Accounting practice' mean?";लेखा प्रथा;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"What is the technical term for 'Accommodation'?";1. निभाव 2. आवास;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Identify the correct Hindi translation for 'Accounting rule'";लेखा नियम;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
"Select the correct Hindi translation for the term 'Accounting standard'";लेखा मानक;खातेदार;सक्रिय खाता;लेखा-वर्ष;0
