Question;Option1;Option2;Option3;Option4;CorrectIndex
"Select the correct Hindi translation for 'Daily balance'";दैनिक शेष;साप्ताहिक शेष;मासिक शेष;वार्षिक शेष;0
"What is the Hindi equivalent of 'Daily balancing'";दैनिक मिलान / शेष निकालना;खाता मिलान;ब्याज मिलान;स्टॉक मिलान;0
"Choose the correct meaning of 'Daily circulation account'";दैनिक परिचालन लेखा;दैनिक जमा लेखा;दैनिक ऋण लेखा;दैनिक लाभ लेखा;0
"Select the correct Hindi translation for 'Daily collection register'";दैनिक वसूली रजिस्टर;दैनिक भुगतान रजिस्टर;दैनिक उपस्थिति रजिस्टर;दैनिक शिकायत रजिस्टर;0
"In a professional context, what does 'Daily counter payment book' mean?";दैनिक काउंटर भुगतान बही;दैनिक काउंटर प्राप्ति बही;दैनिक चेक बुक;दैनिक पास बुक;0
"What is the technical term for 'Daily counter receipt book'";दैनिक काउंटर प्राप्ति बही;दैनिक काउंटर भुगतान बही;दैनिक रोकड़ बही;दैनिक खाता बही;0
"Identify the correct Hindi translation for 'Daily diary'";दैनिक डायरी;मासिक डायरी;साप्ताहिक डायरी;वार्षिक डायरी;0
"Select the correct Hindi translation for 'Daily hours'";दैनिक कार्य-घंटे;साप्ताहिक कार्य-घंटे;अतिरिक्त कार्य-घंटे;अवकाश के घंटे;0
"What is the Hindi equivalent of 'Daily injection (under LAF)'";दैनिक अंतर्वेशन;दैनिक बहिर्गमन;दैनिक जमा;दैनिक निकासी;0
"Choose the correct meaning of 'Daily paid labour'";दिहाड़ी श्रमिक / मजदूर;स्थायी श्रमिक;बंधुआ मजदूर;कुशल श्रमिक;0
"Select the correct Hindi translation for 'Daily report'";दैनिक रिपोर्ट;मासिक रिपोर्ट;वार्षिक रिपोर्ट;गोपनीय रिपोर्ट;0
"In a professional context, what does 'Daily routine' mean?";रोज का नेमी काम;विशेष काम;आकस्मिक काम;सप्ताहिक काम;0
"What is the technical term for 'Daily wages'";दैनिक मजदूरी / दिहाड़ी;मासिक वेतन;वार्षिक पैकेज;प्रोत्साहन राशि;0
"Identify the correct Hindi translation for 'Dairy farming'";डेरी उद्योग;मुर्गी पालन;मत्स्य पालन;रेशम उत्पादन;0
"Select the correct Hindi translation for 'Damage'";नुकसान / क्षति;लाभ;बचत;निवेश;0
"What is the Hindi equivalent of 'Damage claim'";नुकसानी / क्षतिपूर्ति दावा;बीमा दावा;ब्याज दावा;पेंशन दावा;0
"Choose the correct meaning of 'Damages'";नुकसानी / हर्जाना;लाभ;लागत;ब्याज;0
"Select the correct Hindi translation for 'Dampening effect'";मंदक प्रभाव;तेजी का प्रभाव;स्थिर प्रभाव;सकारात्मक प्रभाव;0
"In a professional context, what does 'Danger money' mean?";जोखिम मजदूरी / जोखिम धन;सुरक्षा धन;बीमा धन;पेंशन धन;0
"What is the technical term for 'Dark money'";अप्रकट राशि;काला धन;सफेद धन;जाली मुद्रा;0
"Identify the correct Hindi translation for 'Data'";1. आंकड़े 2. आधार सामग्री;सूचना;विवरण;रिपोर्ट;0
"Select the correct Hindi translation for 'Data analysis'";आंकड़ा / सामग्री विश्लेषण;आंकड़ा संग्रहण;आंकड़ा प्रविष्टि;आंकड़ा सुरक्षा;0
"What is the Hindi equivalent of 'Data base'";आधारभूत आंकड़े / सामग्री / डेटाबेस;सूचना केंद्र;फाइल;रजिस्टर;0
"Choose the correct meaning of 'Data collection'";आंकड़ा संग्रह;आंकड़ा वितरण;आंकड़ा विनाश;आंकड़ा संशोधन;0
"Select the correct Hindi translation for 'Data entry equipment'";आंकड़ा प्रविष्टि उपस्कर;आंकड़ा विश्लेषण उपस्कर;आंकड़ा मुद्रण उपस्कर;आंकड़ा सुरक्षा उपस्कर;0
"In a professional context, what does 'Data processing' mean?";आंकड़ा प्रसंस्करण;आंकड़ा संग्रहण;आंकड़ा प्रविष्टि;आंकड़ा मिटाना;0
"What is the technical term for 'Data sheet'";आंकड़ा पत्रक;तुलन पत्र;वेतन पत्रक;उपस्थिति पत्रक;0
"Identify the correct Hindi translation for 'Date of maturity'";परिपक्वता की तारीख;जारी करने की तारीख;भुगतान की तारीख;रद्दीकरण की तारीख;0
"Select the correct Hindi translation for 'Date stamp'";दिनांक मुहर / तारीख मुहर;राजस्व मुहर;रबड़ की मुहर;सीलिंग मोम;0
"What is the Hindi equivalent of 'Dated securities'";दिनांकित प्रतिभूतियां;अदिनांकित प्रतिभूतियां;शाश्वत प्रतिभूतियां;परिवर्तनीय प्रतिभूतियां;0
"Choose the correct meaning of 'Dated signature'";दिनांक सहित हस्ताक्षर;जाली हस्ताक्षर;अधूरे हस्ताक्षर;सादे हस्ताक्षर;0
"Select the correct Hindi translation for 'Dating back of policy'";पॉलिसी का पूर्व-तिथि अंकन;पॉलिसी का नवीनीकरण;पॉलिसी का रद्दीकरण;पॉलिसी का हस्तांतरण;0
"In a professional context, what does 'Dating terms' mean?";तारीख संबंधी शर्तें;भुगतान संबंधी शर्तें;ब्याज संबंधी शर्तें;ऋण संबंधी शर्तें;0
