Question;Option1;Option2;Option3;Option4;CorrectIndex
"Select the correct Hindi translation for the term 'Baby bond'";अल्पराशि बॉण्ड;दीर्घकालिक ऋण;प्रतिभूति;साख पत्र;0
"What is the Hindi equivalent of 'Baby steps to tame inflation'?";मुद्रास्फीति नियंत्रण के लिए उठाए गए कड़े कदम;मुद्रास्फीति नियंत्रण के लिए उठाए गए छोटे-छोटे कदम;मुद्रास्फीति नियंत्रण नीति;मुद्रास्फीति का प्रभाव;1
"Choose the correct meaning of 'Back door financing'";प्रत्यक्ष वित्तपोषण;अप्रत्यक्ष वित्तपोषण;सरकारी वित्तपोषण;निजी वित्तपोषण;1
"Select the correct Hindi translation for the term 'Back end'";अग्रिम स्तरीय;पश्च स्तरीय;मध्य स्तरीय;उच्च स्तरीय;1
"In a professional context, what does 'Back end load' mean?";बिक्री के समय देय प्रभार;खरीद के समय देय प्रभार;वार्षिक प्रभार;मासिक प्रभार;0
"What is the technical term for 'Back ended subsidy'";प्रारंभिक सहायकी;अंतिम भाग में देय सहायकी / सब्सिडी;मासिक सहायकी;वार्षिक सहायकी;1
"Identify the correct Hindi translation for 'Back fee'";पश्च शुल्क;अग्रिम शुल्क;विलंब शुल्क;पंजीकरण शुल्क;0
"Select the correct Hindi translation for the term 'Back loading of expenditure'";आबंटित राशि शुरू में खर्च करना;आबंटित राशि अंत में खर्च करना;आबंटित राशि किस्तों में खर्च करना;आबंटित राशि खर्च न करना;1
"What is the Hindi equivalent of 'Back office'?";मुख्य कार्यालय;शाखा कार्यालय;बैक ऑफिस / पश्च कार्यालय;जनसंपर्क कार्यालय;2
"Choose the correct meaning of 'Back spread'";बैक स्प्रेड (ऑप्शन ट्रेडिंग की एक रणनीति);ब्याज दर;विनिमय दर;बाजार मूल्य;0
"Select the correct Hindi translation for the term 'Back to back credit'";साख पत्र;ऋण समर्थित ऋण;व्यापारिक साख;उपभोक्ता साख;1
"In a professional context, what does 'Back to back letter of credit' mean?";दुत्तरफा साख-पत्र;एकतरफा साख-पत्र;अस्थायी साख-पत्र;रद्द साख-पत्र;0
"What is the technical term for 'Backward areas'";शहरी क्षेत्र;विकसित क्षेत्र;पिछड़े क्षेत्र;औद्योगिक क्षेत्र;2
"Identify the correct Hindi translation for 'Backward balancing'";विमुखी संतुलन;समानुपातिक संतुलन;अग्रिम संतुलन;भुगतान संतुलन;0
"Select the correct Hindi translation for the term 'Backward classes'";उच्च वर्ग;पिछड़े वर्ग;मध्यम वर्ग;धनी वर्ग;1
"What is the Hindi equivalent of 'Backwardation'";तेजी बदला;मंदी बदला;सम बदला;शून्य बदला;1
"Choose the correct meaning of 'Backwash effect'";प्रतिक्षिप्ति प्रभाव / निकटवर्ती क्षेत्रों पर प्रतिकूल प्रभाव;अनुकूल प्रभाव;स्थिर प्रभाव;सकारात्मक प्रभाव;0
"Select the correct Hindi translation for the term 'Bad and doubtful debts'";अच्छे और सुरक्षित कर्ज;अशोध्य और संदिग्ध कर्ज;वसूल हुए कर्ज;माफ किए गए कर्ज;1
"In a professional context, what does 'Bad climate allowance' mean?";प्रतिकूल जलवायु भत्ता;पर्वतीय भत्ता;यात्रा भत्ता;महंगाई भत्ता;0
"What is the technical term for 'Bad coin'";असली सिक्का;खोटा सिक्का;पुराना सिक्का;विदेशी सिक्का;1
"Identify the correct Hindi translation for 'Bad credit'";अच्छी साख;खराब साख;नई साख;पुरानी साख;1
"Select the correct Hindi translation for the term 'Bad debt'";अशोध्य / डूबत कर्ज;संदेहास्पद कर्ज;चालू कर्ज;सावधि कर्ज;0
"What is the Hindi equivalent of 'Bad debts recovered accounts'";वसूले गए अशोध्य कर्ज खाते;अशोध्य कर्ज खाते;संदिग्ध कर्ज खाते;माफ किए गए कर्ज खाते;0
"Choose the correct meaning of 'Bad debts reserve account'";अशोध्य कर्ज आरक्षित निधि खाता;सामान्य आरक्षित निधि;पूंजी आरक्षित निधि;राजस्व आरक्षित निधि;0
"Select the correct Hindi translation for the term 'Bad delivery'";अमान्य परिदान;दोषयुक्त शेयरों की सुपुर्दगी;शीघ्र परिदान;विलंबित परिदान;1
"In a professional context, what does 'Bad lending scenario' mean?";अशोध्य ऋण परिदृश्य;सुरक्षित ऋण परिदृश्य;लाभदायक ऋण परिदृश्य;जोखिम मुक्त ऋण परिदृश्य;0
